"id","pop_est_2015","county_name","state","FIPS","google_county_name","pop_est_2000","pop_est_2001","pop_est_2002","pop_est_2003","pop_est_2004","pop_est_2005","pop_est_2006","pop_est_2007","pop_est_2008","pop_est_2009","pop_est_2010","pop_est_2011","pop_est_2012","pop_est_2013","pop_est_2014"
47432,38012,"Newberry County","South Carolina","45071","Newberry County",35958,36053,36244,36226,36312,36399,36746,37061,37192,37413,37508,37518,37580,37535,37807
47433,75713,"Oconee County","South Carolina","45073","Oconee County",66434,67170,68194,68900,69615,70581,71490,72407,73089,73829,74273,74234,74612,74952,75232
47435,121691,"Pickens County","South Carolina","45077","Pickens County",111062,111600,111806,112704,113554,114344,115570,116815,118330,119183,119224,119427,119670,119208,120622
47436,407051,"Richland County","South Carolina","45079","Richland County",321981,327446,331285,336273,345750,349003,357096,366111,373789,380245,384504,389621,393589,397645,401591
47437,20053,"Saluda County","South Carolina","45081","Saluda County",19191,19191,19180,19096,18904,19131,19310,19417,19503,19677,19875,19864,19967,20091,20027
47439,107480,"Sumter County","South Carolina","45085","Sumter County",104802,104629,105380,105112,106099,106082,105953,106014,106463,107004,107456,107355,108075,108035,107940
47440,27777,"Union County","South Carolina","45087","Union County",29971,29813,29699,29519,29279,29241,29248,29060,29172,29100,28961,28651,28223,28027,27947
47441,32535,"Williamsburg County","South Carolina","45089","Williamsburg County",37145,36751,36333,35592,35561,35193,35458,35444,35090,34622,34423,34132,33620,33140,32761
47443,2733,"Aurora County","South Dakota","46003","Aurora County",3045,2946,2869,2862,2860,2789,2775,2745,2750,2712,2710,2714,2746,2711,2743
47444,18372,"Beadle County","South Dakota","46005","Beadle County",17030,16952,16767,16504,16370,16304,16149,16489,16810,17288,17398,17742,18038,18383,18304
47447,33897,"Brookings County","South Dakota","46011","Brookings County",28342,28565,28913,29171,29393,29485,30323,30831,31363,31729,31965,32131,32703,33106,33394
47449,5281,"Brule County","South Dakota","46015","Brule County",5334,5179,5067,5058,5030,5010,4991,5079,5112,5184,5255,5325,5325,5391,5329
47450,2095,"Buffalo County","South Dakota","46017","Buffalo County",1991,2004,1977,1978,1977,1959,1973,1937,1956,1858,1912,1976,2016,2020,2084
47451,10283,"Butte County","South Dakota","46019","Butte County",9093,9120,9046,9199,9284,9422,9517,9817,9977,9989,10110,10311,10242,10319,10307
47453,9383,"Charles Mix County","South Dakota","46023","Charles Mix County",9340,9207,9164,9075,9055,9134,9110,9034,9009,9079,9129,9181,9196,9186,9248
47454,3659,"Clark County","South Dakota","46025","Clark County",4129,4144,4003,3958,3897,3827,3713,3711,3714,3688,3691,3595,3586,3625,3662
47455,13964,"Clay County","South Dakota","46027","Clay County",13510,13627,13505,13536,13449,13517,13627,13785,13959,13846,13864,14032,14106,13964,13991
47457,4197,"Corson County","South Dakota","46031","Corson County",4194,4162,4208,4236,4256,4213,4041,4118,4051,3983,4050,4046,4082,4225,4195
47458,8446,"Custer County","South Dakota","46033","Custer County",7345,7368,7499,7588,7795,7810,7992,8028,8060,8095,8216,8338,8319,8422,8445
47459,19858,"Davison County","South Dakota","46035","Davison County",18763,18868,18862,18907,19104,19126,19404,19351,19318,19377,19504,19604,19785,19826,19861
47461,4333,"Deuel County","South Dakota","46039","Deuel County",4495,4482,4473,4402,4345,4389,4394,4344,4394,4379,4364,4372,4372,4308,4320
47462,5685,"Dewey County","South Dakota","46041","Dewey County",5948,5907,5825,5839,5722,5667,5537,5402,5245,5252,5301,5404,5541,5589,5677
47463,2977,"Douglas County","South Dakota","46043","Douglas County",3439,3419,3351,3295,3280,3242,3131,3080,3006,3017,3002,2985,2961,2995,2948
47465,6867,"Fall River County","South Dakota","46047","Fall River County",7375,7339,7238,7212,7178,7181,7108,7083,7032,7056,7094,6974,6992,6831,6864
47466,2337,"Faulk County","South Dakota","46049","Faulk County",2617,2547,2514,2493,2440,2411,2398,2406,2415,2349,2364,2371,2372,2371,2345
47468,4201,"Gregory County","South Dakota","46053","Gregory County",4766,4632,4550,4494,4431,4378,4311,4267,4254,4260,4271,4224,4251,4234,4221
47469,1861,"Haakon County","South Dakota","46055","Haakon County",2201,2174,2134,2112,2080,2030,1984,1957,1945,1953,1937,1911,1911,1886,1847
47470,6047,"Hamlin County","South Dakota","46057","Hamlin County",5546,5551,5566,5558,5559,5625,5595,5696,5753,5843,5903,5961,5954,5950,5998
47472,3385,"Hanson County","South Dakota","46061","Hanson County",3152,3263,3287,3335,3503,3511,3414,3417,3399,3345,3331,3376,3381,3388,3399
47473,1267,"Harding County","South Dakota","46063","Harding County",1345,1337,1317,1332,1278,1257,1278,1274,1252,1263,1255,1297,1317,1267,1254
47474,17555,"Hughes County","South Dakota","46065","Hughes County",16505,16351,16479,16514,16573,16682,16717,16788,16690,16867,17022,17281,17435,17443,17617
47476,1397,"Hyde County","South Dakota","46069","Hyde County",1655,1607,1552,1587,1616,1601,1531,1467,1430,1420,1420,1396,1432,1383,1396
47477,3321,"Jackson County","South Dakota","46071","Jackson County",2940,2846,2876,2927,2939,2982,2976,3008,2950,2982,3031,3173,3176,3235,3278
47479,924,"Jones County","South Dakota","46075","Jones County",1182,1136,1113,1074,1068,1033,1046,1014,976,990,1006,1018,1008,990,965
47480,4990,"Kingsbury County","South Dakota","46077","Kingsbury County",5803,5635,5524,5435,5311,5318,5228,5177,5142,5146,5148,5171,5229,5070,5076
